CAMIS,YEAR,SCORE,SCORE CHANGE
40376290,2012.66666667,10.6666666667,3.0
40376352,2012.5,13.25,19.0
40376493,2014.0,9.66666666667,-2.0
40376495,2013.0,13.5,9.0
40376496,2013.0,10.6666666667,3.0
40376515,2012.66666667,10.6666666667,1.0
40376583,2014.5,8.5,7.0
40376635,2013.5,13.375,14.0
40376687,2013.5,15.25,19.0
40376718,2013.0,12.0,-1.0
40376735,2013.5,12.75,-9.0
40376933,2013.0,22.1666666667,14.0
40376944,2013.5,18.0,11.0
40377111,2012.66666667,9.5,0.0
40377124,2013.5,11.75,-3.0
40377164,2014.0,8.66666666667,-7.0
40377243,2013.5,16.75,-10.0
40377262,2013.0,7.0,-6.0
40377294,2013.0,6.22222222222,-1.0
40377299,2013.5,8.0,6.0
40377325,2013.0,9.0,-7.0
40377385,2013.5,9.25,-1.0
40377506,2013.5,15.75,20.0
40377560,2012.0,15.8888888889,11.0
40377630,2013.0,12.8888888889,1.0
40377698,2013.5,6.08333333333,-7.0
40377789,2013.0,10.0,7.0
40377908,2013.66666667,11.0,3.0
40378035,2013.5,9.25,10.0
40378136,2013.5,18.6666666667,-12.0
40378190,2013.5,8.0,0.0
40378212,2014.0,11.3333333333,1.0
40378272,2013.0,16.3333333333,-11.0
40378328,2013.33333333,6.0,12.0
40378347,2013.0,23.3888888889,-2.0
40378383,2013.5,17.0,-2.0
40378534,2013.33333333,8.5,-3.0
40378571,2013.0,5.83333333333,-8.0
40378579,2013.5,11.375,0.0
40378585,2013.5,16.5,-11.0
40378719,2013.0,10.6666666667,-1.0
40378729,2013.0,16.1666666667,3.0
40378774,2013.5,10.75,8.0
40378796,2013.0,11.0,-2.0
40378822,2013.5,11.125,6.0
40378827,2012.5,21.0,3.0
40378874,2014.0,10.8333333333,2.0
40378970,2014.0,11.3333333333,2.0
40379026,2013.5,8.5,-5.0
40379149,2014.0,30.1666666667,16.0
40379304,2012.66666667,9.33333333333,3.0
40379355,2013.0,14.1111111111,9.0
40379566,2013.5,11.5,-1.0
40379573,2013.0,10.6666666667,0.0
40379580,2013.0,10.1111111111,2.0
40379620,2012.5,9.25,-2.0
40379628,2013.5,10.625,1.0
40379647,2013.5,9.25,2.0
40379662,2014.0,11.6666666667,10.0
40379746,2013.33333333,10.0,0.0
40379890,2014.0,16.0,12.0
40379894,2012.5,7.625,9.0
40379897,2013.5,7.875,3.0
40379920,2013.5,11.2083333333,3.0
40379994,2013.0,17.3333333333,11.0
40380044,2013.5,11.875,7.0
40380164,2012.66666667,10.9444444444,2.0
40380182,2013.5,11.25,11.0
40380253,2012.5,12.375,8.0
40380422,2013.0,10.8333333333,-1.0
40380432,2013.0,11.5,-4.0
40380457,2013.0,7.33333333333,-4.0
40380464,2013.0,10.0,-6.0
40380517,2013.0,10.5,4.0
40380518,2014.0,12.1666666667,1.0
40380520,2013.0,10.3333333333,9.0
40380559,2013.0,11.8333333333,-10.0
40380592,2013.5,7.75,3.0
40380628,2012.5,11.0,2.0
40380648,2012.5,11.0,-7.0
40380657,2013.0,17.6666666667,-17.0
40380660,2013.5,7.0,0.0
40380826,2013.5,8.75,6.0
40380996,2013.5,9.0,0.0
40381083,2012.5,10.625,8.0
40381210,2013.0,15.0,-14.0
40381295,2013.5,19.0,80.0
40381344,2013.0,11.8333333333,5.0
40381420,2013.0,28.3333333333,-10.0
40381551,2012.5,11.75,-4.0
40381595,2013.5,10.5,1.0
40381720,2013.5,15.375,0.0
40381752,2014.0,9.0,5.0
40381797,2013.5,10.25,0.0
40381811,2012.5,13.25,5.0
40381896,2012.5,16.875,20.0
40382052,2013.5,11.25,-2.0
40382057,2013.0,15.0,-3.0
40382147,2013.0,13.6666666667,-1.0
40382246,2013.5,7.75,11.0
40382302,2013.0,10.5,-4.0
40382367,2013.5,9.375,1.0
40382395,2012.5,10.5,-5.0
40382421,2013.5,5.5,3.0
40382455,2013.0,10.1666666667,-1.0
40382517,2012.5,10.25,6.0
40382652,2013.5,9.5,0.0
40382679,2014.5,16.0,-18.0
40382802,2013.33333333,9.16666666667,-3.0
40382876,2012.5,14.0,18.0
40382877,2014.0,18.1666666667,-16.0
40382900,2013.5,13.0416666667,1.0
40383003,2013.5,10.0,2.0
40383009,2013.5,15.5,0.0
40383033,2013.0,10.6666666667,-2.0
40383040,2013.0,11.6666666667,0.0
40383044,2012.5,9.875,-4.0
40383067,2013.0,21.8333333333,11.0
40383090,2013.5,9.25,6.0
40383147,2014.0,10.8333333333,3.0
40383151,2013.5,11.125,0.0
40383262,2013.5,10.75,4.0
40383281,2013.5,9.75,2.0
40383284,2013.5,8.75,5.0
40383354,2013.0,9.83333333333,-1.0
40383464,2013.0,13.5,16.0
40383496,2013.0,10.3333333333,-1.0
40383506,2013.5,8.5,0.0
40383511,2013.0,11.6666666667,9.0
40383609,2013.0,10.6666666667,-6.0
40383737,2013.5,10.25,6.0
40383763,2012.5,10.25,3.0
40383799,2012.5,9.875,-8.0
40383819,2013.5,6.75,7.0
40383825,2013.0,12.5,-19.0
40383836,2013.0,20.8333333333,28.0
40383931,2014.0,11.0,1.0
40383945,2013.66666667,14.0,1.0
40384036,2013.5,6.25,-5.0
40384100,2013.5,10.5,0.0
40384115,2012.5,9.625,4.0
40384188,2013.0,10.3333333333,1.0
40384222,2012.5,12.625,4.0
40384323,2012.5,10.25,0.0
40384340,2012.5,7.125,-1.0
40384421,2012.5,10.0,0.0
40384441,2014.0,10.6666666667,-3.0
40384458,2013.0,10.1666666667,7.0
40384479,2012.5,10.25,4.0
40384486,2012.5,12.375,11.0
40384507,2013.0,11.5,-6.0
40384525,2012.5,17.625,11.0
40384528,2013.5,14.0,10.0
40384575,2013.0,10.3333333333,0.0
40384662,2013.5,12.625,6.0
40384671,2012.66666667,14.5,-2.0
40384757,2013.0,14.0,1.0
40384820,2013.0,11.5,6.0
40384920,2013.5,8.5,4.0
40384961,2012.5,10.75,5.0
40385000,2012.5,12.375,7.0
40385051,2013.0,16.3333333333,-5.0
40385057,2013.0,8.5,-1.0
40385065,2012.66666667,10.5,3.0
40385157,2013.0,10.3333333333,1.0
40385161,2013.0,6.5,-11.0
40385231,2013.0,12.5,47.0
40385461,2013.0,15.0555555556,3.0
40385515,2013.5,14.5,16.0
40385555,2013.5,18.75,33.0
40385575,2013.0,9.5,-7.0
40385580,2013.5,5.5,-4.0
40385584,2013.0,16.8333333333,-8.0
40385587,2012.5,9.125,-1.0
40385606,2013.5,17.875,9.0
40385657,2013.0,7.55555555556,-3.0
40385680,2013.0,13.6666666667,-7.0
40385693,2012.5,10.625,4.0
40385767,2013.5,15.25,-4.0
40385774,2013.0,11.3333333333,11.0
40385816,2013.5,10.375,3.0
40385852,2013.0,16.3333333333,2.0
40385873,2013.0,9.5,2.0
40385885,2013.0,9.66666666667,-2.0
40385955,2012.5,5.0,4.0
40385974,2013.5,13.125,0.0
40386001,2013.0,15.1666666667,1.0
40386058,2013.0,11.3333333333,2.0
40386062,2013.0,6.5,-2.0
40386067,2013.66666667,10.7777777778,-1.0
40386069,2013.0,10.0555555556,1.0
40386102,2013.5,9.0,6.0
40386147,2014.0,19.3333333333,-17.0
40386278,2013.0,8.0,2.0
40386287,2013.5,19.25,4.0
40386303,2013.5,9.5,-4.0
40386340,2013.5,8.75,-5.0
40386425,2013.5,14.875,-15.0
40386428,2013.0,12.0,1.0
40386429,2013.0,15.1666666667,-1.0
